router_id,mac_address,ip
9,94:6F:23:9E:FD:76,192.168.100.9
1,94:6F:23:76:25:78,192.168.100.1
25,94:6F:23:07:9C:BD,192.168.100.25
2,94:6F:23:A5:93:F8,192.168.100.2
6,94:6F:23:0D:F1:64,192.168.100.6
7,94:6F:23:20:F6:19,192.168.100.7
13,94:6F:23:AC:AB:2A,192.168.100.13
8,94:6F:23:EC:8C:69,192.168.100.8
10,94:6F:23:48:95:C2,192.168.100.10
24,94:6F:23:32:D3:C8,192.168.100.24
4,94:6F:23:0D:79:AB,192.168.100.4
3,94:6F:23:FE:29:1A,192.168.100.3
29,94:6F:23:75:43:9F,192.168.100.29
14,94:6F:23:77:C1:F6,192.168.100.14
31,94:6F:23:17:F6:47,192.168.100.31
15,94:6F:23:C9:56:1B,192.168.100.15
11,94:6F:23:22:24:04,192.168.100.11
27,94:6F:23:17:6B:26,192.168.100.27
26,94:6F:23:5D:DA:60,192.168.100.26
12,94:6F:23:59:5F:E0,192.168.100.12
16,94:6F:23:C2:EF:6E,192.168.100.16
28,94:6F:23:1C:06:CC,192.168.100.28
30,94:6F:23:59:03:0B,192.168.100.30
